,No. Pesanan,Status Pesanan,Nama Produk,Nama Variasi,Harga Setelah Diskon,Jumlah,Potongan Koin Shopee,Ongkos Kirim Dibayar oleh Pembeli,Total Pembayaran,Username (Pembeli),Kota/Kabupaten,Waktu Pembayaran,Pesanan Dibuat
4511,,,Cat lukis,"Hijau,20ml",Rp 5.800,1,,,,,,,
4512,,,Kanvas lukis,,Rp 12.200,2,,,,,,,
4513,,,Giant waterbeads,"Jumbo/giant,25 gram",Rp 13.000,1,,,,,,,
4514,20072235X0MYQW,Selesai,Sensory Rice Ocean,,Rp 62.500,1,0.0,Rp 16.000,Rp 180.000,tsalsabilaazzahra,KOTA PEKANBARU,2020-07-22 16:38,2020-07-22 16:30
4515,,,Kanvas lukis,,Rp 16.000,3,,,,,,,
4516,,,Meet the,Set 2,Rp 53.500,1,,,,,,,
4517,200722363UDHE8,Selesai,Cat lukis,"Merah,20ml",Rp 5.900,1,0.0,Rp 0,Rp 51.800,triajengrs,KOTA SURAKARTA (SOLO),2020-07-22 16:34,2020-07-22 16:34
4518,,,Cat lukis,"Pink,20ml",Rp 5.500,1,,,,,,,
4519,,,Cat lukis,"Kuning,20ml",Rp 5.600,2,,,,,,,
4520,,,Cat lukis,"Biru muda,20ml",Rp 5.600,1,,,,,,,
4521,,,Cat lukis,"Hijau,20ml",Rp 5.800,1,,,,,,,
4522,,,Cat lukis,"Coklat,20ml",Rp 5.600,1,,,,,,,
4523,,,Kanvas lukis,,Rp 12.200,1,,,,,,,
4524,2007223ABQ4X2T,Selesai,Cat lukis,"Merah,20ml",Rp 5.900,1,0.0,Rp 10.000,Rp 30.800,finarahmapuspita,KOTA TANGERANG SELATAN,2020-07-22 17:50,2020-07-22 17:50
4525,,,Cat lukis,"Biru muda,20ml",Rp 5.600,1,,,,,,,
4526,,,Cat lukis,"Hijau,20ml",Rp 5.800,1,,,,,,,
4527,,,Giant waterbeads,"Standar,10 gram",Rp 3.500,1,,,,,,,
4528,2007223MB7JR7A,Selesai,Cat lukis,"Merah,20ml",Rp 5.900,1,0.0,Rp 0,Rp 54.300,aldhylapoetri,KOTA TANGERANG SELATAN,2020-07-22 20:49,2020-07-22 20:48
4529,,,Cat lukis,"Kuning,20ml",Rp 5.600,1,,,,,,,
4530,,,Cat lukis,"Biru muda,20ml",Rp 5.600,1,,,,,,,
4531,,,Cat lukis,"Hijau,20ml",Rp 5.800,1,,,,,,,
4532,,,Kanvas lukis,,Rp 12.200,2,,,,,,,
4533,,,Giant waterbeads,"Standar,10 gram",Rp 3.500,2,,,,,,,
4534,2007223NENK5C5,Selesai,Cat lukis,"Merah,20ml",Rp 5.900,1,0.0,Rp 15.000,Rp 175.000,putri_agusta,KOTA TANGERANG SELATAN,2020-07-22 21:10,2020-07-22 21:08
4535,,,Cat lukis,"Orange,20ml",Rp 5.800,1,,,,,,,
4536,,,Cat lukis,"Kuning,20ml",Rp 5.600,1,,,,,,,
4537,,,Cat lukis,"Hijau,20ml",Rp 5.800,1,,,,,,,
4538,,,Kanvas lukis,,Rp 16.000,1,,,,,,,
4539,,,Montessori tray,"Hitam,Besar",Rp 30.000,1,,,,,,,
4540,,,Kanvas lukis,,Rp 12.200,2,,,,,,,
4541,,,Giant waterbeads,"Jumbo/giant,25 gram",Rp 13.000,1,,,,,,,
4542,,,Meet the,Set 1,Rp 53.500,1,,,,,,,
4543,2007233XK5UNCP,Selesai,Meet the,Set 1&2,Rp 100.000,1,0.0,Rp 0,Rp 100.000,nala.clothing,KOTA JAKARTA SELATAN,2020-07-22 23:52,2020-07-22 23:52
4544,2007234XVY1YJX,Selesai,Instant snow,,Rp 6.000,2,5979.0,Rp 8.000,Rp 75.021,rizna_nugrahani,KAB. PASURUAN,2020-07-23 09:32,2020-07-23 09:30
4545,,,Giant waterbeads,"Jumbo/giant,25 gram",Rp 13.000,1,,,,,,,
